gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,stop_lat,stop_lon,lat,lon
StopPoint:48:5250,003003018:18,16341,Gare de Torcy,Gare de Torcy,StopPoint:Node:2401892010,Stigo,003003018:18,16341,Gare de Tournan,Torcy RER,48.838391,2.655657,48.838493299999996,2.6552469
StopPoint:9:1739,051051013:13,417793,GARE D'OZOIR-LA-FERRIERE,GARE DE TORCY,StopPoint:Node:3900938555,Pep's,051051013:13,417793,Ozoir-la-Ferrière,Torcy RER,48.838988,2.654381,48.8385908,2.6553488
StopPoint:9:1737,051051021:21,417794,GARE DE LAGNY THORIGNY,GARE DE TORCY,StopPoint:Node:4136423192,Pep's,051051021:21,417794,Gare de Lagny,Torcy RER,48.83897,2.654381,48.8384682,2.6555869
StopPoint:9:1736,051051025:25,417794,GARE DE LAGNY THORIGNY,GARE DE TORCY,StopPoint:Node:3900938552,Pep's,051051025:25,417794,Gare de Lagny,Torcy RER,48.838961,2.654381,48.8389721,2.6545883
StopPoint:9:1736,051051025:25,417794,GARE DE LAGNY THORIGNY,GARE DE TORCY,StopPoint:Node:3900938552,Pep's,051051025:25,417794,Gare de Lagny,Torcy RER,48.838961,2.654381,48.8389721,2.6545883
StopPoint:9:1738,051051029:29,417793,GARE DE LAGNY THORIGNY,GARE DE TORCY,StopPoint:Node:3900938553,Pep's,051051029:29,417793,Gare de Lagny,Torcy RER,48.838979,2.654381,48.8388741,2.6547908
StopPoint:9:1735,051051046:46,15697,GARE DE VAL D'EUROPE,GARE DE TORCY,StopPoint:Node:3900938554,Pep's,051051046:46,15697,Val d'Europe,Torcy RER,48.838952,2.654381,48.838726799999996,2.655067
StopPoint:9:1730,051177018:18,15697,MEAUX SNCF,GARE DE TORCY,StopPoint:Node:2401892009,Seine et Marne Express,051177018:18,15697,Meaux Gare SNCF,Torcy RER,48.838943,2.654381,48.8389046,2.6544301
StopPoint:9:1730,051177018:18,15697,MEAUX SNCF,GARE DE TORCY,StopPoint:Node:3900948965,Seine et Marne Express,051177018:18,15697,Meaux Gare SNCF,Torcy RER,48.838943,2.654381,48.839218599999995,2.6544266999999997
StopPoint:9:1730,051177018:18,15697,MELUN SNCF,GARE DE TORCY,StopPoint:Node:2401892009,Seine et Marne Express,051177018:18,15697,Meaux Gare SNCF,Torcy RER,48.838943,2.654381,48.8389046,2.6544301
StopPoint:9:1730,051177018:18,15697,MELUN SNCF,GARE DE TORCY,StopPoint:Node:3900948965,Seine et Marne Express,051177018:18,15697,Meaux Gare SNCF,Torcy RER,48.838943,2.654381,48.839218599999995,2.6544266999999997
StopPoint:9:1730,051177018:18,15697,MELUN SNCF,GARE DE TORCY,StopPoint:Node:2401892008,Seine et Marne Express,051177018:18,15697,Melun Gare SNCF-RER,Torcy RER,48.838943,2.654381,48.8387641,2.6546879
StopPoint:9:1730,051177018:18,15697,MELUN SNCF,GARE DE TORCY,StopPoint:Node:3900948965,Seine et Marne Express,051177018:18,15697,Melun Gare SNCF-RER,Torcy RER,48.838943,2.654381,48.839218599999995,2.6544266999999997
StopPoint:59:3677651,100100211:211,26070,TORCY RER,TORCY RER,StopPoint:Node:2401892015,RATP,100100211:211,26070,Torcy RER,Torcy RER,48.838688,2.655482,48.838688,2.6554819999999997
StopPoint:59:5231693,100100220:220,22613,TORCY-RER,TORCY-RER,StopPoint:Node:2035523046,RATP,100100220:220,22613,Torcy RER,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
StopPoint:59:5231693,100100220:220,22613,TORCY-RER,TORCY-RER,StopPoint:Node:2035523046,RATP,100100220:220,22613,Torcy RER,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
StopPoint:59:5231693,100100220:220,22613,BRY-SUR-MARNE RER,TORCY-RER,StopPoint:Node:2035523046,RATP,100100220:220,22613,Bry-sur-Marne RER,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
StopPoint:59:5231693,100100220:220,22613,BRY-SUR-MARNE RER,TORCY-RER,StopPoint:Node:2035523046,RATP,100100220:220,22613,Bry-sur-Marne RER,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
StopPoint:59:5231693,100987757:N34,22613,GARE DE LYON,TORCY-RER,StopPoint:Node:2035523046,Noctilien,100987757:N34,22613,Gare de Lyon,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
StopPoint:59:5231693,100987757:N34,22613,TORCY-RER,TORCY-RER,StopPoint:Node:2035523046,Noctilien,100987757:N34,22613,Torcy RER,Torcy RER,48.839231,2.654396,48.838949,2.6549286999999997
