agency_name,route_short_name,route_id,ID_Line,osm_line_id
RATP,22,100100022:22,C01074,Line:relation:1254461
RATP,29,100100029:29,C01079,Line:relation:1255733
RATP,42,100100042:42,C01085,Line:relation:1057570
RATP,54,100100054:54,C01092,Line:relation:1257186
RATP,56,100100056:56,C01093,Line:relation:1066573
RATP,66,100100066:66,C01102,Line:relation:1254003
RATP,83,100100083:83,C01115,Line:relation:1083421
RATP,85,100100085:85,C01117,Line:relation:952830
RATP,86,100100086:86,C01118,Line:relation:387064
RATP,87,100100087:87,C01119,Line:relation:1083428
RATP,88,100100088:88,C01120,Line:relation:1245875
RATP,89,100100089:89,C01121,Line:relation:1083434
RATP,92,100100092:92,C01123,Line:relation:1083429
RATP,95,100100095:95,C01126,Line:relation:1246520
RATP,105,100100105:105,C01134,Line:relation:7444602
RATP,114,100100114:114,C01143,Line:relation:1555940
RATP,118,100100118:118,C01147,Line:relation:1555879
RATP,123,100100123:123,C01152,Line:relation:1782907
RATP,132,100100132:132,C01160,Line:relation:5852775
RATP,138,100100138:138,C01164,Line:relation:1104709
RATP,185,100100185:185,C01206,Line:relation:3008945
RATP,188,100100188:188,C01209,Line:relation:5256555
RATP,210,100100210:210,C01224,Line:relation:1306437
RATP,244,100100244:244,C01240,Line:relation:1716268
RATP,318,100100318:318,C01281,Line:relation:1555939
RATP,323,100100323:323,C01287,Line:relation:1981724
RATP,388,100100388:388,C01314,Line:relation:5954724
RATP,LA TRAVERSE BIEVRE MONTSOURIS,100100513:BIEVRES,C01330,Line:relation:7921052
Noctilien,N52,100987752:N52,C01393,Line:relation:1576587
Noctilien,N42,100987755:N42,C01396,Line:relation:6955494
Noctilien,N21,100987760:N21,C01401,Line:relation:6789691
Noctilien,N32,100987763:N32,C01404,Line:relation:1534904
Noctilien,N43,100987766:N43,C01406,Line:relation:6955549
Noctilien,N01,100987775:N01,C01413,Line:relation:7011212
Noctilien,N02,100987776:N02,C01414,Line:relation:7011211
Noctilien,N14,100987783:N14,C01418,Line:relation:1547967
Noctilien,N133,800:N133,C01648,Line:relation:6956807
Noctilien,N66,100987796:N66,C01807,Line:relation:3713597
RATP,40,100100040:40,C02254,Line:relation:1942584
RATP,24,100100024:24,C01075,Line:relation:1083425
RATP,31,100100031:31,C01081,Line:relation:1255734
RATP,43,100100043:43,C01086,Line:relation:1057567
RATP,46,100100046:46,C01087,Line:relation:1057566
RATP,60,100100060:60,C01096,Line:relation:1257122
RATP,61,100100061:61,C01097,Line:relation:255442
RATP,68,100100068:68,C01104,Line:relation:1083430
RATP,93,100100093:93,C01124,Line:relation:1083419
RATP,94,100100094:94,C01125,Line:relation:1085979
RATP,112,100100112:112,C01141,Line:relation:1520618
RATP,115,100100115:115,C01144,Line:relation:225801
RATP,124,100100124:124,C01153,Line:relation:1555880
RATP,131,100100131:131,C01159,Line:relation:3334641
RATP,165,100100165:165,C01187,Line:relation:2647711
RATP,170,100100170:170,C01191,Line:relation:225665
RATP,189,100100189:189,C01210,Line:relation:5954679
RATP,201,100100201:201,C01219,Line:relation:7920982
RATP,241,100100241:241,C01239,Line:relation:3307569
RATP,249,100100249:249,C01241,Line:relation:6608978
RATP,255,100100255:255,C01246,Line:relation:5226660
RATP,350,100100350:350,C01298,Line:relation:7466937
RATP,ROISSYBUS,100100352:ROISSYB,C01300,Line:relation:7074022
RATP,LA TRAVERSE DE CHARONNE,100100501:CHARONN,C01329,Line:relation:7921049
Noctilien,N23,100987756:N23,C01397,Line:relation:1547965
Noctilien,N34,100987757:N34,C01398,Line:relation:1549912
Noctilien,N31,100987759:N31,C01400,Line:relation:1535268
Noctilien,N45,100987765:N45,C01405,Line:relation:6955761
Noctilien,N53,100987770:N53,C01409,Line:relation:6434505
Noctilien,N16,100987781:N16,C01416,Line:relation:1535461
Noctilien,N122,100987790:N122,C01421,Line:relation:6956562
Noctilien,N131,800:N131,C01636,Line:relation:6956787
RATP,20,100100020:20,C01072,Line:relation:1066572
RATP,21,100100021:21,C01073,Line:relation:1083426
RATP,26,100100026:26,C01076,Line:relation:1083423
RATP,28,100100028:28,C01078,Line:relation:1066842
RATP,32,100100032:32,C01082,Line:relation:1083424
RATP,38,100100038:38,C01083,Line:relation:1057488
RATP,47,100100047:47,C01088,Line:relation:1057573
RATP,57,100100057:57,C01094,Line:relation:1257187
RATP,63,100100063:63,C01099,Line:relation:1257123
RATP,73,100100073:73,C01108,Line:relation:1086444
RATP,75,100100075:75,C01110,Line:relation:1066571
RATP,80,100100080:80,C01112,Line:relation:1083422
RATP,82,100100082:82,C01114,Line:relation:1083431
RATP,111,100100111:111,C01140,Line:relation:1520619
RATP,125,100100125:125,C01154,Line:relation:1973045
RATP,126,100100126:126,C01155,Line:relation:2981756
RATP,173,100100173:173,C01194,Line:relation:1553162
RATP,183,100100183:183,C01204,Line:relation:5426450
RATP,216,100100216:216,C01230,Line:relation:6860557
RATP,239,100100239:239,C01238,Line:relation:7921053
RATP,ORLYBUS,100100283:ORLYBUS,C01261,Line:relation:6915922
RATP,299,100100299:299,C01271,Line:relation:7797759
RATP,341,100100341:341,C01294,Line:relation:1553375
RATP,351,100100351:351,C01299,Line:relation:1866830
Noctilien,N33,100987758:N33,C01399,Line:relation:1555941
Noctilien,N61,100987761:N61,C01402,Line:relation:1762129
Noctilien,N63,100987769:N63,C01408,Line:relation:6956361
Noctilien,N11,100987780:N11,C01415,Line:relation:1535460
RATP,LE P'TIT BUS DU PRE,100100573:PTITBUS,C01900,Line:relation:8728677
RATP,PC,100100098:PC,C02205,Line:relation:1257210
RATP,45,100100045:45,C02244,Line:relation:9352984
RATP,59,100100059:59,C02245,Line:relation:9353394
RATP,71,100100071:71,C02246,Line:relation:9353405
RATP,62,100100062:62,C01098,Line:relation:1257125
RATP,67,100100067:67,C01103,Line:relation:1066570
RATP,72,100100072:72,C01107,Line:relation:1086445
RATP,76,100100076:76,C01111,Line:relation:1251039
RATP,84,100100084:84,C01116,Line:relation:1083427
RATP,96,100100096:96,C01127,Line:relation:226276
RATP,102,100100102:102,C01131,Line:relation:3047801
RATP,109,100100109:109,C01138,Line:relation:5964015
RATP,128,100100128:128,C01157,Line:relation:6954593
RATP,139,100100139:139,C01165,Line:relation:954976
RATP,152,100100152:152,C01176,Line:relation:7920985
RATP,153,100100153:153,C01177,Line:relation:3997212
RATP,163,100100163:163,C01185,Line:relation:5899903
RATP,164,100100164:164,C01186,Line:relation:2647712
RATP,186,100100186:186,C01207,Line:relation:2972968
RATP,191,100100191:191,C01212,Line:relation:5757909
RATP,194,100100194:194,C01214,Line:relation:4289192
RATP,215,100100215:215,C01229,Line:relation:7474293
RATP,252,100100252:252,C01244,Line:relation:7920987
RATP,289,100100289:289,C01264,Line:relation:1987589
RATP,290,100100290:290,C01265,Line:relation:2532600
RATP,302,100100302:302,C01273,Line:relation:2989343
RATP,LA TRAVERSE BATIGNOLLES BICHAT,100100518:BATIGNO,C01332,Line:relation:5662181
RATP,LA TRAVERSE NEY FLANDRE,100100519:NEY-FLA,C01333,Line:relation:7921027
RATP,V5,100100584:V5,C01362,Line:relation:7901303
Noctilien,N51,100987753:N51,C01394,Line:relation:1553501
Noctilien,N41,100987772:N41,C01411,Line:relation:6955407
Noctilien,N13,100987784:N13,C01419,Line:relation:1547966
Noctilien,N12,100987785:N12,C01420,Line:relation:1547969
RATP,48,100100048:48,C01089,Line:relation:1083432
RATP,27,100100027:27,C01077,Line:relation:1083433
RATP,30,100100030:30,C01080,Line:relation:1255732
RATP,39,100100039:39,C01084,Line:relation:1057577
RATP,52,100100052:52,C01090,Line:relation:1083435
RATP,58,100100058:58,C01095,Line:relation:1083420
RATP,64,100100064:64,C01100,Line:relation:1257124
RATP,69,100100069:69,C01105,Line:relation:1254002
RATP,70,100100070:70,C01106,Line:relation:1086590
RATP,74,100100074:74,C01109,Line:relation:937390
RATP,91,100100091:91,C01122,Line:relation:1083436
RATP,129,100100129:129,C01158,Line:relation:1857145
RATP,137,100100137:137,C01163,Line:relation:949583
RATP,150,100100150:150,C01174,Line:relation:3045662
RATP,151,100100151:151,C01175,Line:relation:3318735
RATP,166,100100166:166,C01188,Line:relation:952693
RATP,169,100100169:169,C01190,Line:relation:6010927
RATP,175,100100175:175,C01196,Line:relation:1574080
RATP,184,100100184:184,C01205,Line:relation:1259529
RATP,187,100100187:187,C01208,Line:relation:1259087
RATP,197,100100197:197,C01217,Line:relation:7537818
RATP,281,100100281:281,C01260,Line:relation:1520530
RATP,325,100100325:325,C01288,Line:relation:1555878
Noctilien,N24,100987751:N24,C01392,Line:relation:1667801
Noctilien,N44,100987754:N44,C01395,Line:relation:6955630
Noctilien,N62,100987762:N62,C01403,Line:relation:5540004
Noctilien,N22,100987768:N22,C01407,Line:relation:5830159
Noctilien,N35,100987773:N35,C01412,Line:relation:1534903
Noctilien,N15,100987782:N15,C01417,Line:relation:1537048
Noctilien,N153,100987791:N153,C01422,Line:relation:6950503
RATP,35,100100035:35,C01680,Line:relation:2644951
RATP,260,100100260:260,C02027,Line:relation:7791161
RATP,25,100100025:25,C02243,Line:relation:9340396
RATP,77,100100077:77,C02251,Line:relation:9353416
